"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"8ade9e6c516e88ac859e4882632ca703","Fungi",NA,NA,NA,NA,NA,NA
"05096b778c31d3b74eb342099028b77c","Fungi",NA,NA,NA,NA,NA,NA
"96b800a9093330093da908da3c3cd36f","Fungi",NA,NA,NA,NA,NA,NA
"ac3048a34af95a2b8c3f6ed4ea8652dc","Fungi",NA,NA,NA,NA,NA,NA
"267e4cf7b9674cfbfaead46d9345d39a","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus","Suillus_grevillei"
"f4b09c301dcaedb0b9c7e30f5cab2238","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Pseudocosmospora",NA
"70d421f79ecbc7248d4fa84dabfc190d","Fungi",NA,NA,NA,NA,NA,NA
"f89dbc2acf6873d6281dfa6a2e8c48aa","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Alphamycetaceae","Betamyces","Betamyces_sp"
"b9fdb00704f759acd431b04cb15b14fa","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Rhizophydiales_gen_Incertae_sedis","Rhizophydiales_sp"
"646f02ea58db09a13839ef18d4f40f57","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium","Coniothyrium_telephii"
"0e93f2903d1e0f0013c321f37e461aad","Fungi",NA,NA,NA,NA,NA,NA
"e9017e93ea0c122dac265a5de1c9b78c","Fungi",NA,NA,NA,NA,NA,NA
"d231fbed6942c2e5025928b6234d79d1","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Pleosporales_sp"
"2c1a72afc7cc60e23227bcf623650fb2","Fungi",NA,NA,NA,NA,NA,NA
"5bed933510d3740387146a0f4bcffd63","Fungi",NA,NA,NA,NA,NA,NA
"5f32e97f807955113d1ec7ffaf2a8ee0","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporiaceae_gen_Incertae_sedis","Dictyosporiaceae_sp"
"3f96ad46f9e8d32444d6861ebccfb19e","Fungi","Basidiomycota","Microbotryomycetes","Leucosporidiales","Leucosporidiaceae","Leucosporidium","Leucosporidium_creatinivorum"
"bef8f0fefcb0db9051afaaa83ded5ba0","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Galerina","Galerina_sp"
"b97031a4bdb4562862dd1c27b159d0f4","Fungi",NA,NA,NA,NA,NA,NA
"93eb7b89ff0d0b5f8773b45a23a52783","Fungi",NA,NA,NA,NA,NA,NA
"658ad5e2c8965fed0fe0ea7cf6e3c5a1","Fungi",NA,NA,NA,NA,NA,NA
"468c80f7a9050be5613927f4a54d3c4a","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lindgomycetaceae","Clohesyomyces","Clohesyomyces_aquaticus"
"da331905f29c6dd798d7b97f6b48748a","Fungi",NA,NA,NA,NA,NA,NA
"81316d1832d418c95ffe9fc23d38318a","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia",NA
"cded1def7f706f59489e4b9ceb78738c","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_melezitolytica"
"2a59fbafe4fb4967caeb0251c9d09e0a","Fungi",NA,NA,NA,NA,NA,NA
"ef681f367bf9d67c3afa7585cb296ce0","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Bahusakala","Bahusakala_sp"
"ca2fb97c9b02432347ca837b2c0db380","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Fonsecazyma","Fonsecazyma_sp"
"d48039007524606c731a13774bc35cf7","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Tubeufiaceae_gen_Incertae_sedis","Tubeufiaceae_sp"
"80c5ea020fa111a8104a9b59c15d161f","Fungi",NA,NA,NA,NA,NA,NA
"6c229c2f42a3daeb74b2bb49806466d3","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Perusta","Perusta_sp"
"416a8067a589a1cd19797428fa3d8823","Fungi",NA,NA,NA,NA,NA,NA
"6f9279eede7f4d8b002c25dc1188cb9b","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",NA
"746fb31df5d4f8991bb7f69943ef8be1","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium_sp"
"6746e77af6dd782c0dadb89a2b20cbc9","Fungi",NA,NA,NA,NA,NA,NA
"95a0ecdde59ca0375e3b50dd1dec746d","Fungi",NA,NA,NA,NA,NA,NA
"08994d78ccb860ecd4644c5c07b86b34","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodosporidiobolus","Rhodosporidiobolus_odoratus"
"3b3487d8c5e6b8694a233097e6651007","Fungi",NA,NA,NA,NA,NA,NA
"8beabd48e398a465491708f8388f77a8","Fungi",NA,NA,NA,NA,NA,NA
"2217e31193b635a901c8a5e4b27eabbe","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Tremella","Tremella_globispora"
"e217fdf583142118efa65d443ca46088","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"2ef0f59741e88cafdf3b7147ecb73367","Fungi","Ascomycota","Leotiomycetes","Helotiales","Tympanidaceae","Aotearoamyces","Aotearoamyces_nothofagi"
"e1a5464b76b3a63e30ee20f0f9ae816e","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"387f6b866f30588513968e1c2c80984a","Fungi",NA,NA,NA,NA,NA,NA
"aec2cb7c137def1165f2d597e7d68af0","Fungi","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae",NA,NA
"56a396f24ad2a54100600a1444a0a5c8","Fungi",NA,NA,NA,NA,NA,NA
"364d36e125849fff968020aea21020d9","Fungi","Ascomycota","Pezizomycotina_cls_Incertae_sedis","Pezizomycotina_ord_Incertae_sedis","Pezizomycotina_fam_Incertae_sedis",NA,NA
"bd259c39a06c0bedf1cc188e655700dd","Fungi",NA,NA,NA,NA,NA,NA
"17e9b7018a0fb3a36abdf98f5207bb6e","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"79861f7910c93ee476d3279dc930cf7a","Fungi",NA,NA,NA,NA,NA,NA
"3a2630893c173be8be0680958732b877","Fungi",NA,NA,NA,NA,NA,NA
"69be5330001365567cd794a8387055d6","Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Chrysozymaceae","Chrysozyma","Chrysozyma_griseoflava"
"ef4b4fd11cf8b69e74f1f3f7da727216","Fungi",NA,NA,NA,NA,NA,NA
"f091dce3363b141bd8d1e25e1c14dd0d","Fungi",NA,NA,NA,NA,NA,NA
"a51b46b16ad8f521b76aa05a85c9376e","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiaceae","Rhizophydium","Rhizophydium_carpophilum"
"8d2ab5416e592b9b745b6690e457d411","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Albophoma","Albophoma_yamanashiensis"
"34da497cf54f94b67413cbc20d26b852","Fungi",NA,NA,NA,NA,NA,NA
"69db764339c90ffbf0be0ac1059c2793","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae",NA,NA
"023bf842f2a06681bdff25bc7f20ec5e","Fungi",NA,NA,NA,NA,NA,NA
"f37592452c5eff2f7710568377dc3877","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae",NA,NA
"ef529b609a9165295c7679436793c221","Fungi",NA,NA,NA,NA,NA,NA
"a8a8bd125b33eefa60f75c3c28fe96f6","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Kondoaceae","Kondoa","Kondoa_chamaenerii"
"03b08923542cd60ffe0035f0154c38fa","Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Chrysozymaceae","Chrysozyma","Chrysozyma_sp"
"ce6625d8ee69e13da5608adb5c5f48bb","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Phaeotremellaceae","Phaeotremella","Phaeotremella_ovata"
